date,return
2024-01-04,-0.003226
2024-01-05,0.001369
2024-01-08,0.014175
2024-01-09,-0.001518
2024-01-10,0.00564
2024-01-11,-0.000441
2024-01-12,0.000693
2024-01-16,-0.003678
2024-01-17,-0.005574
2024-01-18,0.008854
2024-01-19,0.012389
2024-01-22,0.002112
2024-01-23,0.002912
2024-01-24,0.001092
2024-01-25,0.005424
2024-01-26,-0.001271
2024-01-29,0.007888
2024-01-30,-0.000774
2024-01-31,-0.016452
2024-02-01,0.013003
2024-02-02,0.010472
2024-02-05,-0.003648
2024-02-06,0.002899
2024-02-07,0.008306
2024-02-08,0.000442
2024-02-09,0.005763
2024-02-12,-0.000439
2024-02-13,-0.013869
2024-02-14,0.009047
2024-02-15,0.006876
2024-02-16,-0.004992
2024-02-20,-0.005521
2024-02-21,0.000905
2024-02-22,0.020484
2024-02-23,0.000689
2024-02-26,-0.003669
2024-02-27,0.001856
2024-02-28,-0.001323
2024-02-29,0.003589
2024-03-01,0.009344
2024-03-04,-0.001073
2024-03-05,-0.010044
2024-03-06,0.005054
2024-03-07,0.009877
2024-03-08,-0.00602
2024-03-11,-0.00086
2024-03-12,0.0107
2024-03-13,-0.001568
2024-03-14,-0.001979
2024-03-15,-0.0069
2024-03-18,0.005926
2024-03-19,0.005542
2024-03-20,0.009207
2024-03-21,0.003299
2024-03-22,-0.001898
2024-03-25,-0.002767
2024-03-26,-0.001849
2024-03-27,0.008369
2024-03-28,-0.000191
2024-04-01,-0.001741
2024-04-02,-0.006379
2024-04-03,0.001098
2024-04-04,-0.012281
2024-04-05,0.010393
2024-04-08,0.000559
2024-04-09,0.001156
2024-04-10,-0.010063
2024-04-11,0.007519
2024-04-12,-0.013899
2024-04-15,-0.012607
2024-04-16,-0.001825
2024-04-17,-0.005936
2024-04-18,-0.00206
2024-04-19,-0.008767
2024-04-22,0.009167
2024-04-23,0.011797
2024-04-24,-0.000475
2024-04-25,-0.003806
2024-04-26,0.009429
2024-04-29,0.003535
2024-04-30,-0.015968
2024-05-01,-0.003252
2024-05-02,0.00931
2024-05-03,0.012319
2024-05-06,0.010274
2024-05-07,0.001103
2024-05-08,9.7e-05
2024-05-09,0.005745
2024-05-10,0.001287
2024-05-13,0.000135
2024-05-14,0.004578
2024-05-15,0.012307
2024-05-16,-0.00206
2024-05-17,0.001436
2024-05-20,0.001152
2024-05-21,0.00245
2024-05-22,-0.002884
2024-05-23,-0.007331
2024-05-24,0.006595
2024-05-28,0.000699
2024-05-29,-0.007027
2024-05-30,-0.006656
2024-05-31,0.009067
2024-06-03,0.000815
2024-06-04,0.001117
2024-06-05,0.011815
2024-06-06,-1.9e-05
2024-06-07,-0.001217
2024-06-10,0.003085
2024-06-11,0.002405
2024-06-12,0.008179
2024-06-13,0.002011
2024-06-14,0.000608
2024-06-17,0.007928
2024-06-18,0.002538
2024-06-20,-0.00272
2024-06-21,-0.00134
2024-06-24,-0.003256
2024-06-25,0.003843
2024-06-26,0.001247
2024-06-27,0.001575
2024-06-28,-0.003943
2024-07-01,0.002056
2024-07-02,0.000715
2024-07-03,0.010445
2024-07-05,0.00575
2024-07-08,0.001153
2024-07-09,0.000972
2024-07-10,0.009847
2024-07-11,-0.00866
2024-07-12,0.006288
2024-07-15,0.002746
2024-07-16,0.005913
2024-07-17,-0.01412
2024-07-18,-0.007715
2024-07-19,-0.006663
2024-07-22,0.010257
2024-07-23,-0.00157
2024-07-24,-0.022923
2024-07-25,-0.005224
2024-07-26,0.011138
2024-07-29,0.000588
2024-07-30,-0.005079
2024-07-31,0.016124
2024-08-01,-0.014262
2024-08-02,-0.018794
2024-08-05,-0.029556
2024-08-06,0.009177
2024-08-07,-0.006706
2024-08-08,0.022854
2024-08-09,0.0044
2024-08-12,0.000525
2024-08-13,0.016312
2024-08-14,0.00315
2024-08-15,0.016995
2024-08-16,0.002239
2024-08-19,0.009516
2024-08-20,-0.001627
2024-08-21,0.003431
2024-08-22,-0.007879
2024-08-23,0.010569
2024-08-26,-0.002387
2024-08-27,0.001372
2024-08-28,-0.005822
2024-08-29,9e-05
2024-08-30,0.009501
2024-09-03,-0.020794
2024-09-04,-0.002049
2024-09-05,-0.002435
2024-09-06,-0.016973
2024-09-09,0.011134
2024-09-10,0.004346
2024-09-11,0.010207
2024-09-12,0.008388
2024-09-13,0.005209
2024-09-16,0.001476
2024-09-17,0.000408
2024-09-18,-0.00297
2024-09-19,0.016921
2024-09-20,-0.001723
2024-09-23,0.002496
2024-09-24,0.002857
2024-09-25,-0.002208
2024-09-26,0.003957
2024-09-27,-0.001451
2024-09-30,0.003999
2024-10-01,-0.008999
2024-10-02,0.000422
2024-10-03,-0.00183
2024-10-04,0.009046
2024-10-07,-0.009082
2024-10-08,0.009413
2024-10-09,0.006902
2024-10-10,-0.001751
2024-10-11,0.00597
2024-10-14,0.008145
2024-10-15,-0.0078
2024-10-16,0.004337
2024-10-17,8.6e-05
2024-10-18,0.003839
2024-10-21,-0.001643
2024-10-22,-0.000531
2024-10-23,-0.009179
2024-10-24,0.00216
2024-10-25,-0.000345
2024-10-28,0.003087
2024-10-29,0.001617
2024-10-30,-0.00303
2024-10-31,-0.019798
2024-11-01,0.004212
2024-11-04,-0.002156
2024-11-05,0.012019
2024-11-06,0.024562
2024-11-07,0.007702
2024-11-08,0.004322
2024-11-11,0.000952
2024-11-12,-0.003111
2024-11-13,0.000486
2024-11-14,-0.006451
2024-11-15,-0.012891
2024-11-18,0.004089
2024-11-19,0.003649
2024-11-20,0.000339
2024-11-21,0.005354
2024-11-22,0.003094
2024-11-25,0.003386
2024-11-26,0.005208
2024-11-27,-0.003035
2024-11-29,0.006193
2024-12-02,0.001791
2024-12-03,0.000464
2024-12-04,0.00619
2024-12-05,-0.001647
2024-12-06,0.001894
2024-12-09,-0.005163
2024-12-10,-0.003114
2024-12-11,0.007701
2024-12-12,-0.005166
2024-12-13,-0.000199
2024-12-16,0.004261
2024-12-17,-0.004129
2024-12-18,-0.030257
2024-12-19,-0.000307
2024-12-20,0.011946
2024-12-23,0.00597
2024-12-24,0.011054
2024-12-26,6.7e-05
2024-12-27,-0.010582
2024-12-30,-0.011477
2024-12-31,-0.003645
