date,return
2020-01-02,0.009308
2020-01-03,-0.007601
2020-01-06,0.003808
2020-01-07,-0.002816
2020-01-08,0.005315
2020-01-09,0.006758
2020-01-10,-0.002882
2020-01-13,0.006854
2020-01-14,-0.001526
2020-01-15,0.002257
2020-01-16,0.008284
2020-01-17,0.003108
2020-01-21,-0.00196
2020-01-22,0.000121
2020-01-23,0.001146
2020-01-24,-0.008933
2020-01-27,-0.016159
2020-01-28,0.010425
2020-01-29,-0.000827
2020-01-30,0.00324
2020-01-31,-0.018325
2020-02-03,0.007401
2020-02-04,0.015126
2020-02-05,0.011482
2020-02-06,0.003359
2020-02-07,-0.005344
2020-02-10,0.007437
2020-02-11,0.001732
2020-02-12,0.006422
2020-02-13,-0.001068
2020-02-14,0.001601
2020-02-18,-0.002581
2020-02-19,0.00477
2020-02-20,-0.004117
2020-02-21,-0.010352
2020-02-24,-0.033728
2020-02-25,-0.03077
2020-02-26,-0.003685
2020-02-27,-0.045952
2020-02-28,-0.00421
2020-03-02,0.042395
2020-03-03,-0.02905
2020-03-04,0.041174
2020-03-05,-0.033807
2020-03-06,-0.016669
2020-03-09,-0.081313
2020-03-10,0.05045
2020-03-11,-0.049977
2020-03-12,-0.100569
2020-03-13,0.082028
2020-03-16,-0.115887
2020-03-17,0.052585
2020-03-18,-0.05196
2020-03-19,0.002123
2020-03-20,-0.044034
2020-03-23,-0.0259
2020-03-24,0.086731
2020-03-25,0.014859
2020-03-26,0.056749
2020-03-27,-0.030238
2020-03-30,0.03196
2020-03-31,-0.015018
2020-04-01,-0.046049
2020-04-02,0.022813
2020-04-03,-0.01456
2020-04-06,0.065007
2020-04-07,0.001019
2020-04-08,0.033017
2020-04-09,0.015103
2020-04-13,-0.009172
2020-04-14,0.029066
2020-04-15,-0.021477
2020-04-16,0.004813
2020-04-17,0.026657
2020-04-20,-0.017775
2020-04-21,-0.030834
2020-04-22,0.021952
2020-04-23,-7.2e-05
2020-04-24,0.013842
2020-04-27,0.014316
2020-04-28,-0.004609
2020-04-29,0.025842
2020-04-30,-0.009354
2020-05-01,-0.02683
2020-05-04,0.002755
2020-05-05,0.009197
2020-05-06,-0.006802
2020-05-07,0.011995
2020-05-08,0.016411
2020-05-11,0.000205
2020-05-12,-0.020133
2020-05-13,-0.017844
2020-05-14,0.011896
2020-05-15,0.004587
2020-05-18,0.030005
2020-05-19,-0.010324
2020-05-20,0.016845
2020-05-21,-0.006928
2020-05-22,0.001897
2020-05-26,0.012245
2020-05-27,0.01477
2020-05-28,-0.001847
2020-05-29,0.004446
2020-06-01,0.004033
2020-06-02,0.008246
2020-06-03,0.01322
2020-06-04,-0.00263
2020-06-05,0.025307
2020-06-08,0.012015
2020-06-09,-0.007485
2020-06-10,-0.005596
2020-06-11,-0.059377
2020-06-12,0.011904
2020-06-15,0.009292
2020-06-16,0.019065
2020-06-17,-0.004163
2020-06-18,0.000385
2020-06-19,-0.005719
2020-06-22,0.006395
2020-06-23,0.004593
2020-06-24,-0.025839
2020-06-25,0.010663
2020-06-26,-0.024038
2020-06-29,0.014591
2020-06-30,0.012728
2020-07-01,0.00698
2020-07-02,0.005492
2020-07-06,0.015319
2020-07-07,-0.010367
2020-07-08,0.00762
2020-07-09,-0.005709
2020-07-10,0.010159
2020-07-13,-0.008697
2020-07-14,0.012875
2020-07-15,0.009146
2020-07-16,-0.003299
2020-07-17,0.002895
2020-07-20,0.008049
2020-07-21,0.002125
2020-07-22,0.005676
2020-07-23,-0.012003
2020-07-24,-0.006461
2020-07-27,0.007266
2020-07-28,-0.006363
2020-07-29,0.012224
2020-07-30,-0.003574
2020-07-31,0.007871
2020-08-03,0.006928
2020-08-04,0.003855
2020-08-05,0.006192
2020-08-06,0.006662
2020-08-07,0.000718
2020-08-10,0.002984
2020-08-11,-0.008289
2020-08-12,0.013846
2020-08-13,-0.001809
2020-08-14,3e-05
2020-08-17,0.003172
2020-08-18,0.002158
2020-08-19,-0.004172
2020-08-20,0.003109
2020-08-21,0.003541
2020-08-24,0.010082
2020-08-25,0.003493
2020-08-26,0.009975
2020-08-27,0.002184
2020-08-28,0.006439
2020-08-31,-0.003629
2020-09-01,0.009374
2020-09-02,0.01436
2020-09-03,-0.035021
2020-09-04,-0.008198
2020-09-08,-0.027703
2020-09-09,0.019555
2020-09-10,-0.017516
2020-09-11,0.000509
2020-09-14,0.013085
2020-09-15,0.00504
2020-09-16,-0.003977
2020-09-17,-0.008834
2020-09-18,-0.015575
2020-09-21,-0.011192
2020-09-22,0.010133
2020-09-23,-0.023464
2020-09-24,0.002662
2020-09-25,0.016038
2020-09-28,0.016473
2020-09-29,-0.005461
2020-09-30,0.007553
2020-10-01,0.0064
2020-10-02,-0.00954
2020-10-05,0.017578
2020-10-06,-0.014318
2020-10-07,0.017257
2020-10-08,0.008823
2020-10-09,0.008891
2020-10-12,0.01596
2020-10-13,-0.006547
2020-10-14,-0.006303
2020-10-15,-0.001236
2020-10-16,-0.000605
2020-10-19,-0.01532
2020-10-20,0.003998
2020-10-21,-0.001895
2020-10-22,0.00547
2020-10-23,0.00339
2020-10-26,-0.018653
2020-10-27,-0.003453
2020-10-28,-0.034777
2020-10-29,0.010112
2020-10-30,-0.01048
2020-11-02,0.011146
2020-11-03,0.017502
2020-11-04,0.022103
2020-11-05,0.019315
2020-11-06,-0.000228
2020-11-09,0.012488
2020-11-10,-0.001468
2020-11-11,0.007401
2020-11-12,-0.009748
2020-11-13,0.013749
2020-11-16,0.012405
2020-11-17,-0.005393
2020-11-18,-0.012108
2020-11-19,0.004201
2020-11-20,-0.006871
2020-11-23,0.005976
2020-11-24,0.015985
2020-11-25,-0.001543
2020-11-27,0.002781
2020-11-30,-0.004437
2020-12-01,0.010878
2020-12-02,0.002101
2020-12-03,-0.000273
2020-12-04,0.008581
2020-12-07,-0.002057
2020-12-08,0.002922
2020-12-09,-0.009009
2020-12-10,-0.000327
2020-12-11,-0.001173
2020-12-14,-0.004487
2020-12-15,0.013429
2020-12-16,0.001568
2020-12-17,0.005576
2020-12-18,-0.004001
2020-12-21,-0.003582
2020-12-22,-0.001687
2020-12-23,0.000898
2020-12-24,0.003883
2020-12-28,0.008554
